id,tweet,translated,label
1.35526E+18,@xanthos_027 #fmizp hocam. Togg ile çalışan firmalar arasında. Taysad üyesi.,@ xanthos_027 #fmizp teacher. It is among the companies working with Togg. Member of Taysad.,1
1.35519E+18,@TOGG2022 @mguercankarakas Allah utandırmasın,@ Togg2022,1
1.35481E+18,@nedemekse TOGG gibi bir şey işte!,@neurope something like TOGG!,0
1.35468E+18,"@TheRealErhardt @MustafaPisken @Defence_Turk @defensehere_tr Devlet erkanı ve muhalefet diyeceksin. Zırhli başka araba yok, Togg u bekleyin. https://t.co/xJbEgQr9T9","@TheRealErhardt @MustafaPisken @Defence_Turk @defensehere_tr You will call it state official and opposition. No other cars with armor, wait for Togg. https://t.co/xJbEgQr9T9",1
1.35453E+18,Mustang e bildigin  togg  https://t.co/zeZBciNm1X,Mustang e bildigin  togg  https://t.co/zeZBciNm1X,1
1.35452E+18,Soldaki 18 temmuz 2020 TOGG temel atma töreni Sağdaki de 18 ocakta paylaşılan son hali  https://t.co/euzphUCCQe,"On the left, 18 July 2020 TOGG groundbreaking ceremony The last version on the right shared on January 18th https://t.co/euzphUCCQe",1
1.35449E+18,"@borsagundem Elın, gel şu togg’un başına geç","@borsagundem Hand, come head over to that togg",1
1.35431E+18,@erdl1971 Kamuda binek oto komple yasaklansin bence.Togg çikana kadar.Sonrasinda herkese Toqq :)),@ erdl1971 I think passenger cars should be completely banned in the public sector.Togg until it comes out.,1
1.35417E+18,@iyikiogrendim TOOGOO Veya  TOGg,@iyikiogrendim TOOGOO Veya  TOGg,1
1.35331E+18,@AtAvrat50 Allahın hakkı 3 zaten yaaa hem togg çıkana kadar yolu var 😁,@ AtAvrat50 God&#39;s right 3 already have a way until the togg comes out,0
1.35258E+18,@fenomen_2014 @sarseven Allah'tan ne dilediysem geldi. Şimdi de 4x4 istiyorum. Allah'ım (hayırlısı ve kolay olarak)TOGG yerli otomobilimiz olsun.😱😎Amin,@ fenomen_2014 @sarseven came whatever I asked from Allah. Now I want a 4x4. God (better and easier) TOGG get our local car.,1
